state_code,county_code,site_num,parameter_code,poc,latitude,longitude,datum,parameter_name,date_local,time_local,date_gmt,time_gmt,sample_measurement,units_of_measure,mdl,uncertainty,qualifier,method_type,method_code,method_name,state_name,county_name,date_of_last_change
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-06-16,00:00,1993-06-16,07:00,69.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-06-17,00:00,1993-06-17,07:00,56.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-06-18,00:00,1993-06-18,07:00,52.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-06-19,00:00,1993-06-19,07:00,49.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-06-20,00:00,1993-06-20,07:00,57.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-06-21,00:00,1993-06-21,07:00,65.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-06-22,00:00,1993-06-22,07:00,63.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-06-23,00:00,1993-06-23,07:00,65.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-06-24,00:00,1993-06-24,07:00,54.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-06-25,00:00,1993-06-25,07:00,59.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-06-26,00:00,1993-06-26,07:00,62.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-06-27,00:00,1993-06-27,07:00,66.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-06-28,00:00,1993-06-28,07:00,66.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-06-29,00:00,1993-06-29,07:00,77.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-06-30,00:00,1993-06-30,07:00,69.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-07-01,00:00,1993-07-01,07:00,67.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-07-02,00:00,1993-07-02,07:00,69.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-07-03,00:00,1993-07-03,07:00,71.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-07-04,00:00,1993-07-04,07:00,62.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-07-05,00:00,1993-07-05,07:00,62.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
